Id,Title,CreationDate,Tags,ClosedDate,ViewCount,Score,FavoriteCount
"992019","Java 256-bit AES Password-Based Encryption","2009-06-14 02:39:02","<java><encryption><cryptography><passwords><aes>","","423212","317","250"
"1132567","Encrypt Password in Configuration Files?","2009-07-15 16:47:21","<java><security><encryption><configuration><cryptography>","","134508","94","72"
"8049872","Given final block not properly padded","2011-11-08 11:45:38","<java><exception><encryption><cryptography><javax.crypto>","","134404","70","15"
"9316437","How to decrypt SHA-256 encrypted String?","2012-02-16 17:54:28","<java><hash><cryptography>","","133145","33","8"
"521101","Using SHA1 and RSA with java.security.Signature vs. MessageDigest and Cipher","2009-02-06 16:51:55","<java><encryption><cryptography><rsa><digital-signature>","","92003","61","23"
"7216969","Getting RSA private key from PEM BASE64 Encoded private key file","2011-08-27 19:51:45","<java><cryptography><certificate><x509><pkcs#8>","","90913","21","23"
"3711754","Why java.security.NoSuchProviderException No such provider: BC?","2010-09-14 18:20:46","<java><security><cryptography><jce>","","71211","41","6"
"3934331","How to hash a string in Android?","2010-10-14 14:38:12","<java><android><hash><cryptography>","","64754","42","21"
"3028380","how to convert BigInteger to String in java","2010-06-12 10:43:43","<java><string><cryptography><biginteger>","","62001","21","7"
"11051205","Difference between java.util.Random and java.security.SecureRandom","2012-06-15 13:04:41","<java><random><cryptography><security>","","55241","160","58"
"4580982","javax.crypto.BadPaddingException","2011-01-02 22:59:01","<java><exception><cryptography><encryption>","","54221","11","6"
"10391271","iText/BouncyCastle ClassNotFound org.bouncycastle.asn1.DEREncodable and org.bouncycastle.tsp.TimeStampTokenInfo","2012-04-30 22:13:31","<java><exception><cryptography><itext><bouncycastle>","","50235","13","6"
"1793979","Registering multiple keystores in JVM","2009-11-25 00:46:00","<java><ssl><cryptography><jvm><jsse>","","49809","39","17"
"20796042","AES Encryption and Decryption with Java","2013-12-27 06:35:37","<java><encryption><cryptography><aes>","","49443","6","7"
"16662408","Correct way to sign and verify signature using bouncycastle","2013-05-21 04:57:59","<java><encryption><cryptography><digital-signature><bouncycastle>","","47694","22","14"
"5641326","256bit AES/CBC/PKCS5Padding with Bouncy Castle","2011-04-12 20:34:26","<java><cryptography><bouncycastle><aes>","","37620","11","6"
"7762771","How do I encrypt/decrypt a string with another string as a password?","2011-10-14 03:33:42","<java><string><cryptography><encryption>","","36656","4","1"
"1609899","java equivalent to php's hmac-SHA1","2009-10-22 20:56:57","<java><php><cryptography><hmac>","","33304","46","26"
"8343894","AES encrypt with openssl command line tool, and decrypt in Java","2011-12-01 15:32:23","<java><bash><encryption><cryptography><aes>","","32045","3","4"
"3150830","Android encryption","2010-06-30 15:35:12","<java><android><security><cryptography>","","31464","25","19"
